listing_id,status,property_type,title,price_usd,price_period,bedrooms,bathrooms,area_sqm,furnished,community_id,district_id,governorate_id,agency,agent_name,listing_url,scraped_at_utc
GOLD-GM181R,buy,Duplex,Duplex for sale in Jdeideh,280000,USD,3,3,230,no,211,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM181R/duplex-for-sale-jdeideh-lebanon-GOLD-GM181R,1770714888
GOLD-GM200R,buy,Duplex,Duplex for sale in Sabtieh,230000,USD,4,3,300,no,869,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM200R/duplex-for-sale-sabtiyeh-lebanon-GOLD-GM200R,1770714889
GOLD-GM224R,buy,Duplex,Duplex for sale in Tilal Ain Saadeh,318000,USD,3,3,236,no,2055,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM224R/duplex-for-sale-tilal-ain-saade-lebanon-GOLD-GM224R,1770714889
GOLD-GM283R,buy,Apartment,Apartment for sale in Fanar,180000,USD,2,2,106,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM283R/apartment-for-sale-fanar-lebanon-GOLD-GM283R,1770714889
GOLD-GM135R,buy,Apartment,Apartment for sale in Bsalim,325000,USD,3,3,177,no,393,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM135R/apartment-for-sale-bsalim-lebanon-GOLD-GM135R,1770714889
GOLD-GM204R,buy,Apartment,Apartment for sale in Bsalim,300000,USD,3,3,156,no,393,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM204R/apartment-for-sale-bsalim-lebanon-GOLD-GM204R,1770714889
GOLD-GM120R,buy,Apartment,Apartment for sale in Bsalim,250000,USD,3,3,200,no,393,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM120R/apartment-for-sale-bsalim-lebanon-GOLD-GM120R,1770714889
GOLD-GM242R,buy,Apartment,Apartment for sale in Bsalim,225000,USD,2,2,130,no,393,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM242R/apartment-for-sale-bsalim-lebanon-GOLD-GM242R,1770714889
GOLD-GM281R,buy,Apartment,Apartment for sale in Bqeneya,360000,USD,3,3,210,no,1338,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM281R/apartment-for-sale-bqennaya-lebanon-GOLD-GM281R,1770714889
GOLD-GM177R,buy,Apartment,Apartment for sale in Baouchriyeh,140000,USD,2,2,100,no,360,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM177R/apartment-for-sale-baouchriyeh-lebanon-GOLD-GM177R,1770714889
